technical_know_how,personal_traits,social_characteristics,motivating_factors
Resourceful,Insensitive,Need to outsmart others,Disregard for law
Bully,Insensitive,Lack Social skills,Political support
Bully,Passionate,Unlawful,Political beliefs
Focussed,Chaotic state of mind,Intolerance to diversity of opinion,Curiosity
Resourceful,Secretive,Inferiority complex,Plain boredom
Well-organized,Secretive,Misguided,"Enhancing self-
worth"
Goal oriented,Identity crisis,Mass-destruction,Thrill-seeking
Well-trained,Chaotic state of mind,Reinforcement available,Lust
Bully,Loner,Low self-worth,Need to Control others
Well trained,Passionate,Mass-destruction,Need to Control others
Bully,Chaotic state of mind,Anti-state,No fear of punishment
Well-networked,Emotional,Marginalised,"Greed (easy, quick money)"
Focussed,Conviction in Violence,Low self-worth,Intolerance
Well-trained,Determined,Unlawful,"Religious
fundamentalism"
Opportunists,Passionate,Rationalization,Risk tolerance
Well-organized,Conviction in Violence,Anti-social,Emotions
Resourceful,Vengeful,Mass-destruction,Curiosity
Sharp (intelligent),Vengeful,Socially inept,Political support
Skilful,Emotional,Low self-worth,Political beliefs
Strategic planners,Passionate,Radical,Disregard for law
Well-networked,Chaotic state of mind,Brain-washed,No fear of punishment
Bully,Strong-willed,Social dissatisfaction,Disregard for law
Strategic planners,Coward,Lack Social skills,Risk tolerance
Skilful,Control freak,Social dissatisfaction,Intolerance
Opportunists,Chaotic state of mind,Socially inept,"Enhancing self-
worth"
Bully,Determined,"Insufficient social
support",Emotions
Goal oriented,Gullible,Anti-state,Lust
Well-organized,Aggressive,Marginalised,"Greed (easy, quick money)"
Opportunists,Control freak,Misguided,Curiosity
Bully,Coercive,Inferiority complex,"Concealed
existence"
Creative,Incited,Social dissatisfaction,Revenge
Sharp (intelligent),Inhuman Psyche,Marginalised,"Enhancing self-
worth"
Creative,Risk-taker,Inferiority complex,"Concealed
existence"
Focussed,Strong-willed,Marginalised,Need to Control others
Focussed,Coercive,Unlawful,Intolerance
Well-organized,Secretive,Low self-worth,"Greed (easy, quick money)"
Smart,Insensitive,"Insufficient social
support",Revenge
Resourceful,Control freak,Reinforcement available,Risk tolerance
Well-networked,Passionate,Inferiority complex,Monetary Gain
Sharp (intelligent),Chaotic state of mind,Rebellious,Experimentation
Focussed,Gullible,Anti-social,Revenge
Bully,Aggressive,Socially inept,"Religious
fundamentalism"
Strategic planners,Incited,Radical,"Enhancing self-
worth"
Goal oriented,Psychiatric conditions,Intolerance to diversity of opinion,Plain boredom
Sharp (intelligent),Identity crisis,"Insufficient social
support",Experimentation
Goal oriented,Control freak,Radical,Intolerance
Skilful,Chaotic state of mind,Radical,Intolerance
Creative,Loner,Rationalization,Manipulate others
Strategic planners,Risk-taker,Reinforcement available,Intolerance
Well-trained,Incited,Anti-establishment,Political support
Smart,Risk-taker,Need to outsmart others,"Greed (easy, quick money)"
Well-networked,Passionate,Inferiority complex,Revenge
Skilful,Inhuman Psyche,Socially inept,Revenge
Well-networked,Control freak,Anti-social,Need to Control others
Well-organized,Insensitive,Reinforcement available,Anger
Creative,Loner,Unlawful,Intolerance
Goal oriented,"Psychologically
Deviant",Rationalization,Experimentation
Goal oriented,Chaotic state of mind,Radical,Curiosity
Sharp (intelligent),Impatient,Anti-establishment,"Greed (easy, quick money)"
Focussed,Impatient,"Insufficient social
support","Enhancing self-
worth"
Resourceful,Risk-taker,Lack Social skills,Disregard for law
Skilful,Coward,Anti-establishment,Revenge
Opportunists,Strong-willed,Anti-establishment,Plain boredom
Well-trained,Coward,Mass-destruction,Monetary Gain
Well-networked,Loner,Lack Social skills,"Greed (easy, quick money)"
Strategic planners,Chaotic state of mind,Broken homes/families,Revenge
Focussed,Strong-willed,Socially inept,Political support
Strategic planners,Vengeful,"Insufficient social
support",Plain boredom
Resourceful,Selfish,Unlawful,"Greed (easy, quick money)"
Well-organized,"Psychologically
Deviant",Unlawful,"Religious
fundamentalism"
Smart,"Psychologically
Deviant",Need to outsmart others,Anger
Creative,Insensitive,Misguided,Monetary Gain
Well-networked,Insensitive,Rationalization,No fear of punishment
Creative,Risk-taker,Anti-establishment,Political support
Smart,Risk-taker,Broken homes/families,Political beliefs
Well-networked,Incited,Need to outsmart others,Need to Control others
Skilful,"Psychologically
Deviant",Misguided,"Enhancing self-
worth"
Skilful,Identity crisis,Need to outsmart others,Political beliefs
Skilful,Passionate,Anti-state,Political beliefs
Creative,Insensitive,Socially inept,Lust
Focussed,Insensitive,"Insufficient social
support",Disregard for law
Sharp (intelligent),Identity crisis,Brain-washed,Intolerance
Skilful,Loner,"Insufficient social
support",Lust
Resourceful,Risk-taker,Reinforcement available,Thrill-seeking
Well trained,Coercive,Rebellious,"Concealed
existence"
Well-networked,Immoral/ Unethical,Anti-social,Intolerance
Well-networked,Coercive,Socially inept,Plain boredom
Bully,Insensitive,Lack Social skills,Political beliefs
Strategic planners,Passionate,Unlawful,Emotions
Well-trained,"Psychologically
Deviant",Low self-worth,Intolerance
Well-networked,Coward,Anti-social,Thrill-seeking
Creative,Loner,Radical,Monetary Gain
Well trained,Control freak,"Insufficient social
support",Thrill-seeking
Well-trained,Psychiatric conditions,Intolerance to diversity of opinion,"Greed (easy, quick money)"
Strategic planners,Emotional,Social dissatisfaction,Revenge
Well trained,Identity crisis,Broken homes/families,Need to Control others
Goal oriented,"Psychologically
Deviant",Lack Social skills,Anger
Skilful,Selfish,Lack Social skills,Experimentation
Smart,Control freak,"Insufficient social
support","Religious
fundamentalism"
Smart,Coward,"Insufficient social
support",Monetary Gain
Strategic planners,Psychiatric conditions,Socially inept,Revenge
Well-organized,Conviction in Violence,Intolerance to diversity of opinion,Anger
Resourceful,Emotional,Unlawful,Emotions
Goal oriented,Strong-willed,Anti-state,"Religious
fundamentalism"
Well-trained,Determined,Need to outsmart others,Lust
Well trained,Insensitive,Anti-establishment,Lust
Well-networked,Emotional,Brain-washed,"Concealed
existence"
Bully,Aggressive,Misguided,Experimentation
Well-organized,Strong-willed,"Insufficient social
support",Anger
Smart,Conviction in Violence,Anti-social,Thrill-seeking
Smart,Risk-taker,Unlawful,Political support
Smart,"Psychologically
Deviant",Rebellious,Emotions
Smart,Passionate,Socially inept,Need to Control others
Smart,Conviction in Violence,Anti-establishment,Revenge
Bully,Identity crisis,Inferiority complex,"Enhancing self-
worth"
Strategic planners,Insensitive,Anti-state,Monetary Gain
Bully,Loner,Misguided,Political support
Well-trained,Psychiatric conditions,Inferiority complex,Political beliefs
Goal oriented,Risk-taker,Broken homes/families,Political beliefs
Strategic planners,Identity crisis,Lack Social skills,"Greed (easy, quick money)"
Focussed,Gullible,Anti-social,Political beliefs
Sharp (intelligent),Secretive,Intolerance to diversity of opinion,"Concealed
existence"
Strategic planners,Insensitive,"Insufficient social
support",Revenge
Opportunists,Coward,Unlawful,Revenge
Goal oriented,Determined,Broken homes/families,"Enhancing self-
worth"
Sharp (intelligent),Inhuman Psyche,Anti-state,Manipulate others
Well-organized,Insensitive,Anti-state,"Enhancing self-
worth"
Creative,Coercive,Rebellious,Plain boredom
Strategic planners,Impatient,Marginalised,Risk tolerance
Focussed,Inhuman Psyche,Social dissatisfaction,Thrill-seeking
Well-networked,Identity crisis,Social dissatisfaction,Curiosity
Well-networked,Coward,Need to outsmart others,Need to Control others
Focussed,Conviction in Violence,Marginalised,Risk tolerance
Strategic planners,Insensitive,"Insufficient social
support",Plain boredom
Creative,Conviction in Violence,Broken homes/families,Disregard for law
Smart,Determined,Inferiority complex,Plain boredom
Smart,Coward,Misguided,Monetary Gain
Well-networked,Secretive,Socially inept,No fear of punishment
Strategic planners,Risk-taker,Broken homes/families,Disregard for law
Strategic planners,Immoral/ Unethical,Social dissatisfaction,No fear of punishment
Smart,Selfish,Anti-state,Experimentation
Smart,Control freak,Lack Social skills,No fear of punishment
Goal oriented,Passionate,Broken homes/families,"Concealed
existence"
Goal oriented,Control freak,Broken homes/families,Experimentation
Bully,Incited,Low self-worth,Curiosity
Well-networked,Vengeful,Radical,Experimentation
Focussed,"Psychologically
Deviant",Lack Social skills,Experimentation
Sharp (intelligent),Psychiatric conditions,Brain-washed,Thrill-seeking
Creative,Identity crisis,Socially inept,Experimentation
Creative,Risk-taker,Intolerance to diversity of opinion,Thrill-seeking
Focussed,Insensitive,Reinforcement available,Political beliefs
Bully,Identity crisis,Misguided,"Concealed
existence"
Resourceful,Loner,Unlawful,"Enhancing self-
worth"
Creative,Insensitive,Low self-worth,Political beliefs
Bully,Emotional,"Insufficient social
support","Greed (easy, quick money)"
Well-networked,Inhuman Psyche,Rationalization,Need to Control others
Goal oriented,Identity crisis,Intolerance to diversity of opinion,Need to Control others
Smart,Determined,Radical,Experimentation
Focussed,Control freak,Rebellious,Risk tolerance
Skilful,Conviction in Violence,Intolerance to diversity of opinion,Experimentation
Creative,Inhuman Psyche,Inferiority complex,Plain boredom
Goal oriented,Incited,Anti-establishment,Emotions
Opportunists,Gullible,Low self-worth,"Religious
fundamentalism"
Well trained,Determined,Anti-establishment,"Concealed
existence"
Skilful,Incited,Broken homes/families,"Greed (easy, quick money)"
Well-networked,Passionate,Reinforcement available,Emotions
Opportunists,Inhuman Psyche,Rebellious,Revenge
Sharp (intelligent),Gullible,Reinforcement available,"Concealed
existence"
Creative,Determined,"Insufficient social
support",Thrill-seeking
Goal oriented,Loner,Marginalised,"Greed (easy, quick money)"
Well-trained,Immoral/ Unethical,Reinforcement available,Manipulate others
Goal oriented,Chaotic state of mind,Inferiority complex,Intolerance
Opportunists,Passionate,Social dissatisfaction,Lust
Creative,Selfish,Lack Social skills,Thrill-seeking
Focussed,"Psychologically
Deviant",Brain-washed,Manipulate others
Well-organized,Psychiatric conditions,Marginalised,Disregard for law
Creative,Incited,Intolerance to diversity of opinion,Disregard for law
Sharp (intelligent),Determined,Lack Social skills,No fear of punishment
Well trained,Conviction in Violence,Inferiority complex,No fear of punishment
Well-organized,Identity crisis,Mass-destruction,Experimentation
Focussed,"Psychologically
Deviant",Mass-destruction,"Greed (easy, quick money)"
Resourceful,Secretive,Reinforcement available,"Concealed
existence"
Smart,Secretive,Radical,Monetary Gain
Smart,Coward,Reinforcement available,Political beliefs
Bully,Impatient,Anti-social,Emotions
Goal oriented,Inhuman Psyche,Anti-state,Intolerance
Well-networked,Secretive,Lack Social skills,Experimentation
Resourceful,Gullible,Broken homes/families,Political support
Skilful,"Psychologically
Deviant",Intolerance to diversity of opinion,Risk tolerance
Well-networked,Insensitive,Anti-social,Political beliefs
Well-trained,Secretive,Rebellious,Lust
Bully,Chaotic state of mind,Misguided,Experimentation
Focussed,Coercive,Anti-establishment,No fear of punishment
Bully,Immoral/ Unethical,Anti-state,Experimentation
Skilful,"Psychologically
Deviant",Social dissatisfaction,No fear of punishment
Goal oriented,Strong-willed,Misguided,Political support
Bully,Determined,Social dissatisfaction,Need to Control others
Well-trained,Conviction in Violence,Mass-destruction,"Concealed
existence"
Well trained,Identity crisis,Inferiority complex,Experimentation
Bully,Strong-willed,Need to outsmart others,Manipulate others
Sharp (intelligent),Incited,Intolerance to diversity of opinion,Plain boredom
Goal oriented,Determined,Broken homes/families,Emotions
Focussed,Risk-taker,Rationalization,Monetary Gain
Goal oriented,Conviction in Violence,Radical,Disregard for law
Goal oriented,Psychiatric conditions,"Insufficient social
support",Emotions
Strategic planners,Psychiatric conditions,Mass-destruction,Revenge
Creative,Control freak,Broken homes/families,Thrill-seeking
Goal oriented,Incited,Inferiority complex,"Greed (easy, quick money)"
Creative,Strong-willed,Socially inept,Risk tolerance
Well trained,Incited,Rationalization,Manipulate others
Well-trained,Passionate,Marginalised,Experimentation
Sharp (intelligent),Aggressive,Rationalization,Emotions
Bully,Risk-taker,Intolerance to diversity of opinion,Revenge
Smart,Identity crisis,Radical,Curiosity
Skilful,Insensitive,Low self-worth,Revenge
Bully,Identity crisis,Rationalization,"Concealed
existence"
Resourceful,Strong-willed,Rationalization,"Greed (easy, quick money)"
Well-trained,Loner,Low self-worth,Political beliefs
Resourceful,Insensitive,Inferiority complex,Revenge
Bully,Insensitive,Radical,Monetary Gain
Creative,Identity crisis,Mass-destruction,Manipulate others
Well-trained,Insensitive,Social dissatisfaction,Revenge
Bully,Inhuman Psyche,Misguided,Emotions
Smart,Control freak,Brain-washed,Political beliefs
Focussed,Passionate,Anti-social,Emotions
Bully,Vengeful,Marginalised,"Greed (easy, quick money)"
Well-networked,Risk-taker,Reinforcement available,Political support
Smart,Psychiatric conditions,Unlawful,Plain boredom
Skilful,Insensitive,Lack Social skills,Thrill-seeking
Focussed,Conviction in Violence,Social dissatisfaction,Thrill-seeking
Well trained,Control freak,Inferiority complex,"Enhancing self-
worth"
Well-networked,Coward,Rebellious,Need to Control others
Well trained,Coward,"Insufficient social
support",Risk tolerance
Creative,Conviction in Violence,Mass-destruction,No fear of punishment
Focussed,Coward,Marginalised,Manipulate others
Well-networked,Inhuman Psyche,Rebellious,Manipulate others
Focussed,Vengeful,Anti-establishment,"Greed (easy, quick money)"
Goal oriented,Insensitive,Radical,Political support
Strategic planners,Identity crisis,Intolerance to diversity of opinion,Political beliefs
Bully,Inhuman Psyche,Mass-destruction,"Enhancing self-
worth"
Focussed,Gullible,Rebellious,No fear of punishment
Opportunists,Risk-taker,Reinforcement available,Anger
Bully,Inhuman Psyche,Broken homes/families,"Greed (easy, quick money)"
Smart,Gullible,Anti-establishment,Need to Control others
Sharp (intelligent),Emotional,"Insufficient social
support","Enhancing self-
worth"
Sharp (intelligent),Impatient,Unlawful,Plain boredom
Sharp (intelligent),Immoral/ Unethical,Radical,Risk tolerance
Goal oriented,Insensitive,Anti-state,Need to Control others
Resourceful,Impatient,Intolerance to diversity of opinion,Thrill-seeking
Opportunists,Secretive,Anti-social,Political beliefs
Skilful,Insensitive,Brain-washed,Emotions
Sharp (intelligent),Coward,"Insufficient social
support","Concealed
existence"
Sharp (intelligent),Coward,Anti-establishment,Monetary Gain
Well-networked,"Psychologically
Deviant",Social dissatisfaction,Risk tolerance
Resourceful,Control freak,Anti-social,Anger
Well-networked,Determined,Rationalization,Lust
Creative,Coercive,Anti-state,Need to Control others
Smart,Insensitive,Rebellious,Revenge
Goal oriented,Coward,Brain-washed,Experimentation
Smart,"Psychologically
Deviant",Reinforcement available,Lust
Focussed,Selfish,Rebellious,Experimentation
Sharp (intelligent),Psychiatric conditions,Lack Social skills,Disregard for law
Creative,Incited,Rebellious,"Greed (easy, quick money)"
Goal oriented,Determined,Need to outsmart others,Monetary Gain
Smart,Selfish,Anti-state,Curiosity
Resourceful,Aggressive,Misguided,Thrill-seeking
Sharp (intelligent),Selfish,Social dissatisfaction,Anger
Opportunists,Gullible,Brain-washed,Disregard for law
Opportunists,Determined,Marginalised,Monetary Gain
Bully,Control freak,Need to outsmart others,Emotions
Resourceful,Incited,Rebellious,Monetary Gain
Sharp (intelligent),Loner,Rationalization,"Greed (easy, quick money)"
Skilful,Incited,Rebellious,Political support
Well-trained,Coward,Rebellious,Risk tolerance
Smart,Identity crisis,Brain-washed,Disregard for law
Skilful,Coward,Need to outsmart others,Experimentation
Well-organized,Immoral/ Unethical,Brain-washed,Thrill-seeking
Well-organized,Selfish,Rebellious,Political beliefs
Smart,Identity crisis,Anti-state,No fear of punishment
Sharp (intelligent),Aggressive,Rebellious,"Religious
fundamentalism"
Bully,Secretive,Lack Social skills,Monetary Gain
Opportunists,Psychiatric conditions,Anti-social,Manipulate others
Well-organized,Emotional,Misguided,Experimentation
Focussed,"Psychologically
Deviant",Marginalised,Political support
Opportunists,Insensitive,Socially inept,Political beliefs
Focussed,Passionate,Low self-worth,Need to Control others
Smart,Secretive,Low self-worth,Political beliefs
Well-trained,Coward,Socially inept,Plain boredom
Creative,Vengeful,Brain-washed,Intolerance
Well trained,Emotional,Inferiority complex,Disregard for law
Well-trained,Impatient,Lack Social skills,"Greed (easy, quick money)"
Goal oriented,Gullible,Anti-establishment,Anger
Goal oriented,Identity crisis,"Insufficient social
support","Concealed
existence"
Well-trained,Conviction in Violence,Social dissatisfaction,Monetary Gain
Sharp (intelligent),Conviction in Violence,Intolerance to diversity of opinion,Thrill-seeking
Focussed,Impatient,"Insufficient social
support",Manipulate others
Creative,Risk-taker,Need to outsmart others,Political support
Resourceful,Vengeful,Inferiority complex,No fear of punishment
Resourceful,Secretive,Unlawful,Emotions
Opportunists,Aggressive,Lack Social skills,"Greed (easy, quick money)"
Well trained,Determined,Inferiority complex,No fear of punishment
Well-organized,Conviction in Violence,Broken homes/families,Political beliefs
Goal oriented,Immoral/ Unethical,Mass-destruction,"Enhancing self-
worth"
Resourceful,Strong-willed,Anti-state,Political support
Well trained,Emotional,Socially inept,Risk tolerance
Focussed,Coward,Anti-establishment,No fear of punishment
Goal oriented,Immoral/ Unethical,Radical,Thrill-seeking
Sharp (intelligent),Secretive,Socially inept,Emotions
Goal oriented,Risk-taker,Reinforcement available,Need to Control others
Resourceful,Loner,Reinforcement available,Political beliefs
Well-organized,Impatient,Rationalization,Thrill-seeking
Smart,Gullible,Intolerance to diversity of opinion,Intolerance
Goal oriented,Selfish,Inferiority complex,Plain boredom
Sharp (intelligent),Control freak,Rebellious,Thrill-seeking
Bully,Identity crisis,Social dissatisfaction,Experimentation
Creative,Coward,Unlawful,Plain boredom
Sharp (intelligent),Selfish,Need to outsmart others,Plain boredom
Goal oriented,Loner,Marginalised,Risk tolerance
Creative,Coward,Marginalised,Emotions
Resourceful,Identity crisis,Misguided,No fear of punishment
Bully,Secretive,Mass-destruction,Anger
Skilful,Strong-willed,Anti-social,Revenge
Goal oriented,Insensitive,Anti-state,Experimentation
Well-networked,Control freak,Intolerance to diversity of opinion,Anger
Skilful,Chaotic state of mind,Broken homes/families,"Enhancing self-
worth"
Sharp (intelligent),Insensitive,"Insufficient social
support",Intolerance
Well trained,Strong-willed,Low self-worth,Lust
Well-trained,Conviction in Violence,Brain-washed,Intolerance
Creative,Gullible,Marginalised,Curiosity
Skilful,Insensitive,Anti-state,"Enhancing self-
worth"
Well trained,Insensitive,"Insufficient social
support",Disregard for law
Skilful,Insensitive,Mass-destruction,Anger
Creative,Psychiatric conditions,Misguided,"Greed (easy, quick money)"
Resourceful,"Psychologically
Deviant","Insufficient social
support",Curiosity
Well-organized,Passionate,Broken homes/families,Experimentation
Bully,Incited,Unlawful,Manipulate others
Well-organized,Insensitive,Radical,Intolerance
Resourceful,Impatient,Social dissatisfaction,Lust
Goal oriented,Incited,Intolerance to diversity of opinion,Intolerance
Well-networked,Psychiatric conditions,Broken homes/families,Emotions
Creative,Gullible,Rationalization,No fear of punishment
Focussed,Impatient,Broken homes/families,Political support
Well-organized,Immoral/ Unethical,Low self-worth,"Greed (easy, quick money)"
Well trained,Insensitive,Low self-worth,Disregard for law
Well-networked,Gullible,Mass-destruction,Plain boredom
Bully,Inhuman Psyche,Social dissatisfaction,Emotions
Resourceful,Aggressive,Mass-destruction,No fear of punishment
Sharp (intelligent),Vengeful,Need to outsmart others,Disregard for law
Well trained,Immoral/ Unethical,Inferiority complex,Political support
Resourceful,Incited,Socially inept,Emotions
Resourceful,Coward,Brain-washed,Plain boredom
Strategic planners,Determined,Mass-destruction,Risk tolerance
Goal oriented,Strong-willed,Inferiority complex,Curiosity
Well-networked,Control freak,Socially inept,Plain boredom
Goal oriented,Aggressive,Intolerance to diversity of opinion,Monetary Gain
Focussed,Gullible,Anti-state,"Enhancing self-
worth"
Focussed,Incited,Unlawful,Experimentation
Skilful,Control freak,Social dissatisfaction,"Greed (easy, quick money)"
Opportunists,Chaotic state of mind,Low self-worth,Thrill-seeking
Smart,Psychiatric conditions,Mass-destruction,Emotions
Strategic planners,Insensitive,Lack Social skills,Anger
Focussed,Gullible,Lack Social skills,Monetary Gain
Smart,"Psychologically
Deviant",Socially inept,Disregard for law
Skilful,Insensitive,Inferiority complex,Emotions
Well-trained,Chaotic state of mind,Misguided,Experimentation
Smart,Coward,Rationalization,"Concealed
existence"
Creative,Inhuman Psyche,Social dissatisfaction,"Greed (easy, quick money)"
Resourceful,Gullible,Rationalization,No fear of punishment
Sharp (intelligent),Risk-taker,Brain-washed,Anger
Bully,Insensitive,Anti-establishment,No fear of punishment
Focussed,Insensitive,Misguided,Need to Control others
Goal oriented,Control freak,Brain-washed,Lust
Smart,Incited,Anti-establishment,Risk tolerance
Well-trained,Incited,Brain-washed,Revenge
Well-networked,Incited,Mass-destruction,Thrill-seeking
Well-trained,Impatient,Misguided,"Enhancing self-
worth"
Resourceful,Insensitive,Misguided,Political support
Creative,Inhuman Psyche,Marginalised,Monetary Gain
Resourceful,Immoral/ Unethical,Anti-state,"Religious
fundamentalism"
Resourceful,Control freak,Reinforcement available,"Greed (easy, quick money)"
Well-organized,Emotional,Lack Social skills,Risk tolerance
Well trained,Conviction in Violence,"Insufficient social
support",Political support
Smart,Insensitive,Intolerance to diversity of opinion,Political support
Goal oriented,Immoral/ Unethical,Anti-social,"Concealed
existence"
Smart,Psychiatric conditions,Anti-state,No fear of punishment
Smart,Identity crisis,Intolerance to diversity of opinion,Political support
Well-networked,Control freak,Unlawful,Curiosity
Resourceful,Aggressive,Social dissatisfaction,Monetary Gain
Sharp (intelligent),Selfish,Rebellious,Need to Control others
Resourceful,Aggressive,Broken homes/families,Lust
Creative,Incited,Social dissatisfaction,Plain boredom
Skilful,Psychiatric conditions,Anti-social,Lust
Creative,Chaotic state of mind,Broken homes/families,Risk tolerance
Skilful,"Psychologically
Deviant",Mass-destruction,"Concealed
existence"
Sharp (intelligent),Vengeful,Rationalization,Lust
Well-networked,Impatient,Need to outsmart others,Risk tolerance
Resourceful,"Psychologically
Deviant",Mass-destruction,No fear of punishment
Well trained,Vengeful,Anti-state,Political beliefs
Bully,Inhuman Psyche,Broken homes/families,Manipulate others
Well trained,Chaotic state of mind,Anti-state,"Religious
fundamentalism"
Goal oriented,Loner,Unlawful,"Greed (easy, quick money)"
Creative,Insensitive,Unlawful,"Religious
fundamentalism"
Well-trained,Selfish,Anti-establishment,Revenge
Sharp (intelligent),Loner,Anti-establishment,"Greed (easy, quick money)"
Skilful,Chaotic state of mind,Brain-washed,Political beliefs
Opportunists,Conviction in Violence,Reinforcement available,Need to Control others
Strategic planners,Loner,"Insufficient social
support",Plain boredom
Opportunists,"Psychologically
Deviant",Brain-washed,Intolerance
Skilful,Psychiatric conditions,Social dissatisfaction,Political beliefs
Well-organized,Gullible,Intolerance to diversity of opinion,"Enhancing self-
worth"
Creative,Strong-willed,Socially inept,"Greed (easy, quick money)"
Smart,Risk-taker,Socially inept,"Religious
fundamentalism"
Well-trained,Determined,Inferiority complex,Curiosity
Goal oriented,Insensitive,Mass-destruction,Monetary Gain
Skilful,Aggressive,Misguided,"Concealed
existence"
Skilful,Loner,Rationalization,Revenge
Bully,Inhuman Psyche,Misguided,Disregard for law
Resourceful,Impatient,Socially inept,Political support
Goal oriented,Inhuman Psyche,Mass-destruction,Political beliefs
Sharp (intelligent),Aggressive,Need to outsmart others,Monetary Gain
Resourceful,Inhuman Psyche,Anti-state,Intolerance
Well-trained,Emotional,Marginalised,Emotions
Opportunists,Identity crisis,Rebellious,Thrill-seeking
Strategic planners,Identity crisis,Reinforcement available,Anger
Creative,Coercive,Broken homes/families,Political beliefs
Strategic planners,Incited,Inferiority complex,"Enhancing self-
worth"
Well trained,Emotional,Misguided,No fear of punishment
Opportunists,Vengeful,Anti-state,Experimentation
Well-trained,Insensitive,Lack Social skills,"Concealed
existence"
Bully,Aggressive,Anti-establishment,Curiosity
Resourceful,Loner,Unlawful,No fear of punishment
Sharp (intelligent),Control freak,Inferiority complex,Lust
Creative,Incited,Socially inept,"Greed (easy, quick money)"
Bully,Insensitive,Unlawful,Monetary Gain
Goal oriented,Loner,Rationalization,Intolerance
Strategic planners,Incited,Low self-worth,Disregard for law
Strategic planners,"Psychologically
Deviant",Rebellious,Revenge
Goal oriented,Gullible,Anti-social,Thrill-seeking
Well-trained,Identity crisis,Anti-establishment,Need to Control others
Bully,Loner,Reinforcement available,No fear of punishment
Opportunists,Incited,Anti-establishment,"Enhancing self-
worth"
Bully,Passionate,Brain-washed,Emotions
Creative,Inhuman Psyche,Inferiority complex,Thrill-seeking
Resourceful,Emotional,"Insufficient social
support",Thrill-seeking
Smart,Conviction in Violence,"Insufficient social
support",Revenge
Bully,Coward,Marginalised,Anger
Well-trained,Loner,Rebellious,Risk tolerance
Goal oriented,Coward,Mass-destruction,Revenge
Smart,"Psychologically
Deviant",Low self-worth,Disregard for law
Goal oriented,Aggressive,Radical,Anger
Creative,Immoral/ Unethical,Socially inept,"Concealed
existence"
Well-trained,Emotional,Brain-washed,"Concealed
existence"
Strategic planners,Impatient,Anti-state,Monetary Gain
Well-networked,Chaotic state of mind,Rebellious,Risk tolerance
Resourceful,"Psychologically
Deviant",Low self-worth,Anger
Bully,Selfish,Anti-state,"Enhancing self-
worth"
Opportunists,Coercive,Anti-establishment,"Religious
fundamentalism"
Well trained,Conviction in Violence,Inferiority complex,Monetary Gain
Goal oriented,Strong-willed,Broken homes/families,"Concealed
existence"
Well-networked,Conviction in Violence,Rebellious,Risk tolerance
Resourceful,Loner,Marginalised,Revenge
Resourceful,Gullible,Unlawful,Political beliefs
Focussed,Aggressive,Lack Social skills,Revenge
Sharp (intelligent),Chaotic state of mind,Marginalised,Monetary Gain
Skilful,Immoral/ Unethical,Anti-social,"Religious
fundamentalism"
Strategic planners,Conviction in Violence,Need to outsmart others,Revenge
Well trained,Strong-willed,Anti-establishment,"Religious
fundamentalism"
Focussed,Incited,Broken homes/families,Intolerance
Well-organized,Selfish,Marginalised,Intolerance
Bully,Inhuman Psyche,Anti-establishment,Disregard for law
Smart,Risk-taker,Socially inept,Curiosity
Strategic planners,"Psychologically
Deviant",Anti-state,"Greed (easy, quick money)"
Smart,Insensitive,Unlawful,Political beliefs
Skilful,Insensitive,Anti-state,Intolerance
Well-networked,Conviction in Violence,Brain-washed,Disregard for law
Opportunists,Determined,Reinforcement available,Plain boredom
Well-networked,Psychiatric conditions,Misguided,Need to Control others
Well-organized,Impatient,Low self-worth,No fear of punishment
Focussed,Insensitive,Reinforcement available,Emotions
Goal oriented,Vengeful,Rebellious,Lust
Opportunists,Risk-taker,Inferiority complex,"Concealed
existence"
Skilful,Conviction in Violence,Intolerance to diversity of opinion,"Concealed
existence"
Well-trained,Incited,Need to outsmart others,Revenge
Well-trained,Coercive,Broken homes/families,"Concealed
existence"
Smart,Determined,"Insufficient social
support",Revenge
Focussed,Inhuman Psyche,Anti-social,"Enhancing self-
worth"
Opportunists,Aggressive,Low self-worth,Curiosity
Well-organized,Inhuman Psyche,Marginalised,Curiosity
Bully,Impatient,Brain-washed,Monetary Gain
Well-networked,Loner,Rebellious,Thrill-seeking
Focussed,Coercive,Brain-washed,"Greed (easy, quick money)"
Strategic planners,Immoral/ Unethical,Broken homes/families,Manipulate others
Resourceful,Impatient,Socially inept,Need to Control others
Creative,Immoral/ Unethical,Reinforcement available,Disregard for law
Bully,Gullible,"Insufficient social
support",Lust
Focussed,Gullible,Intolerance to diversity of opinion,Curiosity
Bully,Identity crisis,Unlawful,"Greed (easy, quick money)"
Goal oriented,Insensitive,Low self-worth,"Concealed
existence"
Smart,Insensitive,Low self-worth,Plain boredom
Bully,Coward,Social dissatisfaction,"Concealed
existence"
Goal oriented,Strong-willed,Rebellious,Curiosity
Goal oriented,Loner,Need to outsmart others,Political beliefs
Well trained,Impatient,Anti-establishment,Risk tolerance
Sharp (intelligent),Chaotic state of mind,Need to outsmart others,Anger
Opportunists,Determined,Broken homes/families,Risk tolerance
Opportunists,Immoral/ Unethical,Unlawful,Emotions
Well-organized,Impatient,Radical,Revenge
Goal oriented,Loner,Misguided,Intolerance
Skilful,Impatient,Low self-worth,Anger
Strategic planners,Coercive,Lack Social skills,Emotions
Resourceful,Identity crisis,Unlawful,Revenge
